V_B2_A,V_B2_B,V_B2_C,I_B2_A,I_B2_B,I_B2_C,V_B3_A,V_B3_B,V_B3_C,I_B3_A,I_B3_B,I_B3_C,V_B4_A,V_B4_B,V_B4_C,I_B4_A,I_B4_B,I_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B5_A,I_B5_B,I_B5_C,class,label,scenario
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=1
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=2
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=3
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=4
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=5
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=6
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=7
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=8
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=9
10695.9025322542,10695.9025321664,10695.9025323355,103.181296642496,103.181296639777,103.181296640315,10597.6971337106,10597.6971336232,10597.6971337897,136.374219485778,136.374219482221,136.374219482893,10551.8509290489,10551.8509289612,10551.850929128,169.777050358426,169.777050354007,169.777050354876,10843.0714245873,10843.0714245346,10843.0714245779,115.175974159363,115.175974159097,115.175974159184,0,Healthy,Healthy LM=0.99 rep=10
10683.4803565456,10683.4803566367,10683.4803563695,111.564372130688,111.564372135765,111.56437213408,10578.447743762,10578.447743852,10578.4477435893,147.347525798937,147.347525805639,147.347525803394,10529.425290412,10529.4252905017,10529.4252902406,183.373941258909,183.373941267181,183.373941264424,10837.632800102,10837.6328001777,10837.6328001229,124.597620255439,124.597620255592,124.597620256545,0,Healthy,Healthy LM=1.08 rep=1
10683.4803565456,10683.4803566367,10683.4803563695,111.564372130688,111.564372135765,111.56437213408,10578.447743762,10578.447743852,10578.4477435893,147.347525798937,147.347525805639,147.347525803394,10529.425290412,10529.4252905017,10529.4252902406,183.373941258909,183.373941267181,183.373941264424,10837.632800102,10837.6328001777,10837.6328001229,124.597620255439,124.597620255592,124.597620256545,0,Healthy,Healthy LM=1.08 rep=2
