V_B2_A,V_B2_B,V_B2_C,V_B3_A,V_B3_B,V_B3_C,V_B4_A,V_B4_B,V_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B2_A,I_B2_B,I_B2_C,I_B3_A,I_B3_B,I_B3_C,I_B4_A,I_B4_B,I_B4_C,I_B5_A,I_B5_B,I_B5_C,class_label,class_name
10887.2685609534,10887.268560952,10887.2685609562,10876.70836663,10876.7083666283,10876.7083666336,10875.5381522584,10875.5381522576,10875.5381522588,10893.2216254466,10893.2216254469,10893.2216254472,50.8861862231016,50.8861862230755,50.886186223073,67.8131932109239,67.8131932108499,67.8131932108791,84.7805320705211,84.7805320704912,84.780532070496,56.0607748744259,56.0607748744318,56.0607748744426,0,Healthy
10882.8438725248,10882.8438725251,10882.8438725283,10871.8788406793,10871.8788406816,10871.8788406824,10870.6645890719,10870.6645890741,10870.6645890761,10889.0452073719,10889.0452073756,10889.0452073731,52.8348055040785,52.8348055040285,52.8348055040563,70.4073540137679,70.4073540137199,70.4073540137737,88.0234046464023,88.0234046463679,88.0234046464111,58.2088865980766,58.2088865980982,58.2088865981155,0,Healthy
10883.4849480604,10883.4849480632,10883.4849480635,10872.5785145163,10872.5785145185,10872.578514518,10871.3706368451,10871.3706368463,10871.3706368469,10889.6503132179,10889.6503132202,10889.6503132201,52.5527362570166,52.5527362569925,52.5527362570285,70.0318526528037,70.0318526527865,70.0318526528165,87.5540047735934,87.5540047735927,87.5540047736283,57.8979337854552,57.8979337854476,57.8979337854789,0,Healthy
10886.3752826331,10886.3752826331,10886.3752826319,10875.7332834423,10875.7332834429,10875.733283443,10874.5541702192,10874.5541702215,10874.5541702189,10892.378470762,10892.378470759,10892.3784707594,51.279919886125,51.2799198861616,51.2799198861401,68.337379450854,68.3373794508241,68.3373794508342,85.4358017029698,85.4358017029549,85.4358017029663,56.4948092610441,56.4948092610357,56.4948092610126,0,Healthy
10886.5174469117,10886.5174469127,10886.5174469117,10875.8884643618,10875.8884643613,10875.88846436,10874.7107670912,10874.7107670907,10874.7107670898,10892.512657967,10892.5126579675,10892.5126579685,51.217269013621,51.2172690136278,51.2172690136253,68.2539715145879,68.2539715145831,68.2539715145799,85.3315359990508,85.3315359990435,85.3315359990497,56.4257454642246,56.425745464238,56.4257454642515,0,Healthy
10886.5100880261,10886.5100880274,10886.5100880253,10875.8804316695,10875.8804316684,10875.8804316687,10874.7026611031,10874.7026611033,10874.7026611018,10892.5057119953,10892.5057119951,10892.5057119974,51.22051213552,51.2205121355158,51.220512135519,68.2582891273029,68.2582891272809,68.258289127304,85.3369333124958,85.3369333125044,85.3369333124974,56.4293205476255,56.4293205476065,56.4293205476174,0,Healthy
10885.9470731674,10885.9470731672,10885.9470731676,10875.2658726367,10875.2658726352,10875.2658726379,10874.0824950911,10874.0824950901,10874.082495092,10891.9742887096,10891.9742887083,10891.9742887089,51.4686029155543,51.4686029155573,51.4686029155705,68.5885744437081,68.5885744436641,68.588574443679,85.7498127067649,85.7498127067393,85.749812706744,56.7028064832271,56.7028064832167,56.702806483206,0,Healthy
10884.9193977199,10884.9193977213,10884.91939772,10874.1441516977,10874.1441516997,10874.144151698,10872.9505440371,10872.9505440375,10872.9505440366,10891.0042767714,10891.0042767717,10891.0042767729,51.9212704562228,51.9212704562322,51.9212704562143,69.1912062632507,69.1912062632921,69.1912062632885,86.5031428670676,86.5031428670375,86.5031428670458,57.2018144260541,57.2018144260424,57.2018144260498,0,Healthy
10885.3519703215,10885.3519703205,10885.3519703219,10874.6163041876,10874.6163041851,10874.6163041853,10873.4270019361,10873.4270019347,10873.4270019359,10891.4125775851,10891.412577585,10891.4125775834,51.7307595721133,51.7307595721173,51.7307595721024,68.9375823110331,68.9375823110336,68.9375823110229,86.1860961062087,86.1860961061905,86.1860961062035,56.9917999248194,56.9917999248362,56.9917999248204,0,Healthy
10886.0077091527,10886.0077091496,10886.0077091482,10875.3320591456,10875.332059143,10875.3320591413,10874.1492853815,10874.1492853783,10874.1492853765,10892.0315223309,10892.0315223261,10892.0315223271,51.4418871081858,51.4418871082066,51.4418871081706,68.5530076219699,68.5530076219737,68.5530076219523,85.7053517530072,85.70535175302,85.7053517529771,56.6733559017195,56.6733559017253,56.6733559016854,0,Healthy
10868.1876391326,10868.1876391285,10868.1876391325,10855.8881567797,10855.8881567771,10855.8881567793,10854.528774952,10854.5287749501,10854.528774954,10875.2111882548,10875.2111882526,10875.2111882539,59.2597881797945,59.2597881797613,59.2597881797566,78.9594151098311,78.9594151098007,78.9594151097762,98.7138560987101,98.7138560986813,98.7138560986861,65.2923661861584,65.2923661861659,65.2923661861389,0,Healthy
10870.7069836919,10870.7069836945,10870.7069836913,10858.6361801107,10858.6361801119,10858.6361801115,10857.3016655429,10857.301665543,10857.301665543,10877.5892152584,10877.5892152569,10877.5892152591,58.1585688234986,58.1585688235143,58.1585688235219,77.4937747356741,77.4937747356437,77.4937747356596,96.8817621303283,96.8817621303252,96.8817621303587,64.0782027245558,64.0782027245324,64.0782027245325,0,Healthy
10869.8930143403,10869.8930143398,10869.8930143393,10857.7482955251,10857.7482955258,10857.7482955251,10856.4057430387,10856.4057430402,10856.4057430392,10876.820904717,10876.8209047164,10876.8209047167,58.5145040235254,58.5145040235056,58.514504023506,77.9675047093658,77.9675047093665,77.96750470936,97.4739396004468,97.4739396004412,97.473939600449,64.4706399870714,64.4706399870794,64.4706399870798,0,Healthy
10869.4972022658,10869.4972022689,10869.4972022732,10857.3165514197,10857.3165514219,10857.3165514253,10855.9700915528,10855.9700915541,10855.9700915589,10876.4472950545,10876.447295056,10876.4472950569,58.6875360772128,58.687536077135,58.6875360771929,78.1977983719952,78.1977983719008,78.1977983719975,97.761813646433,97.7618136463285,97.7618136464382,64.6614181706804,64.6614181706803,64.661418170683,0,Healthy
10869.0187144691,10869.0187144712,10869.0187144662,10856.7946358634,10856.7946358672,10856.7946358622,10855.443453546,10855.4434535463,10855.4434535418,10875.9956469499,10875.9956469537,10875.9956469522,58.8966668044043,58.896666804406,58.8966668044136,78.4761347812879,78.4761347813195,78.476134781339,98.1097422924044,98.1097422924916,98.1097422924512,64.8919983974894,64.8919983975093,64.8919983975263,0,Healthy
10867.2627574672,10867.2627574709,10867.262757469,10854.8793975608,10854.8793975631,10854.8793975617,10853.5108949446,10853.5108949476,10853.5108949446,10874.3381840194,10874.338184023,10874.3381840204,59.6637273420179,59.6637273420366,59.6637273420475,79.4970119878464,79.4970119878423,79.4970119878475,99.3858659822404,99.3858659822534,99.3858659822692,65.7377428085548,65.7377428085738,65.7377428085967,0,Healthy
10870.3861131669,10870.3861131677,10870.3861131684,10858.2861682152,10858.2861682146,10858.2861682153,10856.9484846497,10856.9484846513,10856.9484846513,10877.2863437352,10877.2863437334,10877.2863437327,58.2988966602265,58.2988966602005,58.2988966602206,77.6805440759247,77.6805440758823,77.6805440758868,97.1152298275234,97.1152298275012,97.1152298275322,64.2329211210219,64.2329211210348,64.2329211209995,0,Healthy
10868.7084401568,10868.7084401538,10868.7084401537,10856.456206544,10856.4562065413,10856.4562065428,10855.1019625972,10855.101962596,10855.1019625954,10875.7027766173,10875.7027766201,10875.7027766204,59.0322516429903,59.0322516429947,59.0322516429596,78.6565862300208,78.656586230029,78.6565862299907,98.3353117102345,98.3353117102875,98.3353117102436,65.0414901477472,65.0414901477734,65.0414901477868,0,Healthy
10868.2913500967,10868.2913500984,10868.2913500975,10856.0012757438,10856.0012757436,10856.0012757424,10854.6429169501,10854.642916952,10854.6429169499,10875.3090819134,10875.3090819153,10875.3090819153,59.2144816433198,59.2144816433119,59.2144816433153,78.8991167563616,78.8991167563635,78.8991167563766,98.6384815318853,98.6384815318999,98.638481531914,65.2424122284198,65.2424122284031,65.2424122284239,0,Healthy
10871.2030194081,10871.203019409,10871.2030194085,10859.177274993,10859.1772749945,10859.1772749934,10857.8476604478,10857.847660449,10857.8476604484,10878.0574259551,10878.0574259556,10878.0574259552,57.9415928449024,57.9415928449056,57.9415928448864,77.20498851932,77.2049885193073,77.2049885192911,96.5207697791364,96.5207697791356,96.5207697791101,63.838977002932,63.8389770029467,63.8389770029683,0,Healthy
10851.8110673802,10851.811067382,10851.8110673803,10838.0321537865,10838.0321537886,10838.032153789,10836.5119245884,10836.511924589,10836.5119245876,10859.7530281562,10859.7530281559,10859.7530281588,66.3860934209733,66.3860934209579,66.3860934209635,88.4424617421941,88.4424617421432,88.4424617421924,110.567737388448,110.567737388446,110.567737388448,73.1503733861417,73.1503733861318,73.1503733861459,0,Healthy
10854.4387256862,10854.4387256876,10854.4387256903,10840.8963727302,10840.8963727282,10840.8963727358,10839.4018594058,10839.4018594068,10839.401859411,10862.233349751,10862.2333497508,10862.2333497509,65.2463665833669,65.2463665833066,65.2463665833499,86.9259941118055,86.9259941116645,86.9259941117326,108.67216546129,108.6721654612,108.672165461276,71.8935291869223,71.8935291869285,71.8935291869228,0,Healthy
10855.0726079104,10855.0726079075,10855.0726079091,10841.5873680668,10841.5873680641,10841.5873680658,10840.0990635632,10840.099063559,10840.0990635612,10862.8316877826,10862.8316877812,10862.8316877824,64.9712142752823,64.9712142752803,64.9712142752509,86.5598790306692,86.5598790306506,86.5598790306321,108.214523266977,108.214523267005,108.214523266949,71.5901078775124,71.5901078774989,71.5901078774966,0,Healthy
10849.7573640779,10849.7573640773,10849.757364082,10835.7937770657,10835.7937770631,10835.7937770663,10834.2534734525,10834.2534734524,10834.2534734572,10857.8144721741,10857.8144721722,10857.8144721734,67.2758942730178,67.2758942729553,67.2758942729908,89.6263421520162,89.6263421519805,89.6263421519895,112.04757161993,112.047571619859,112.047571619917,74.1316345762812,74.1316345762949,74.1316345762804,0,Healthy
10849.6565773468,10849.6565773471,10849.6565773452,10835.6839322316,10835.6839322326,10835.68393223,10834.142644007,10834.1426440066,10834.1426440065,10857.7193362006,10857.7193362042,10857.7193362028,67.3195397645017,67.3195397645098,67.3195397644976,89.6844114288301,89.6844114288448,89.6844114288214,112.120157271666,112.120157271671,112.120157271644,74.1797668421704,74.1797668421687,74.1797668422184,0,Healthy
10850.6027641747,10850.6027641735,10850.6027641679,10836.7151744812,10836.7151744811,10836.7151744763,10835.1831318499,10835.1831318473,10835.1831318449,10858.6124729904,10858.6124729901,10858.612472995,66.909714393657,66.9097143936929,66.9097143936399,89.139144686474,89.1391446864982,89.139144686459,111.438582172126,111.438582172129,111.438582172076,73.7278133323761,73.7278133323144,73.7278133323486,0,Healthy
10853.6326945663,10853.6326945664,10853.6326945621,10840.017743913,10840.0177439146,10840.0177439097,10838.5153385422,10838.5153385422,10838.515338537,10861.4725150335,10861.4725150368,10861.472515034,65.5961259998263,65.5961259998607,65.5961259998177,87.3913749922445,87.3913749922587,87.3913749922373,109.253888676708,109.253888676772,109.253888676703,72.2792257399957,72.2792257399882,72.2792257400286,0,Healthy
